,Collection,BrandLine,StyleCode,GridValue,Style,Region,Size,Color,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName,Brand_Tier,Lookalike_ID,Date,Glasses,Sunglasses,Glasses_3m_avg,Sunglasses_3m_avg,Glasses_pct_change,Sunglasses_pct_change,Trend_acetate_frame_glasses,Trend_Calvin_Klein_frames,Trend_FSA_glasses,Trend_metal_frame_glasses,Trend_Lacoste_frames,Trend_Nike_frames,Shape,FrameType,Material,is_summer,is_holiday_season,is_insurance_reset,4m_demand
17203,KS,NIKE SUN,NIKE ENDURE P FJ2215,5919010,NIKE ENDURE P FJ2215,EMEA,Unknown,,7.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2215,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,191.0
17204,KS,NIKE SUN,NIKE ENDURE FJ2185,5919010,NIKE ENDURE FJ2185/5,EMEA,Unknown,,51.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,184.0
17205,KS,NIKE SUN,NIKE ENDURE P FJ2215,5919010,NIKE ENDURE P FJ2215,EMEA,Unknown,,46.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2215,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,169.0
17206,KS,NIKE SUN,NIKE ENDURE FJ2185,5919010,NIKE ENDURE FJ2185/5,EMEA,Unknown,,53.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,174.0
17207,KS,NIKE SUN,NIKE ENDURE P FJ2215,5919010,NIKE ENDURE P FJ2215,EMEA,Unknown,,41.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2215,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,152.0
17208,KS,NIKE SUN,NIKE ENDURE FJ2185,5919010,NIKE ENDURE FJ2185/5,EMEA,Unknown,,44.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,126.0
17209,KS,NIKE SUN,NIKE ENDURE P FJ2215,5919010,NIKE ENDURE P FJ2215,EMEA,Unknown,,31.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2215,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,99.0
17210,KS,NIKE SUN,NIKE ENDURE FJ2185,5919010,NIKE ENDURE FJ2185/5,EMEA,Unknown,,58.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,86.0
17211,KS,NIKE SUN,NIKE ENDURE P FJ2215,5919010,NIKE ENDURE P FJ2215,EMEA,Unknown,,19.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2215,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,86.0
17212,KS,NIKE SUN,NIKE ENDURE FJ2185,5919010,NIKE ENDURE FJ2185/5,EMEA,Unknown,,18.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57,Rectangle,Full,Plastic,0,0,0,95.0
17213,KS,NIKE SUN,NIKE ENDURE P FJ2215,5919010,NIKE ENDURE P FJ2215,EMEA,Unknown,,4.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2215,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57,Rectangle,Full,Plastic,0,0,0,109.0
17214,KS,NIKE SUN,NIKE ENDURE FJ2185,5919010,NIKE ENDURE FJ2185/5,EMEA,Unknown,,45.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60,Rectangle,Full,Plastic,1,0,0,93.0
17215,KS,NIKE SUN,NIKE ENDURE P FJ2215,5919010,NIKE ENDURE P FJ2215,EMEA,Unknown,,19.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2215,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60,Rectangle,Full,Plastic,1,0,0,84.0
17220,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,17.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,52.0
17221,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,11.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,72.0
17222,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,9.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,92.0
17223,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,7.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,127.0
17224,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,25.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,147.0
17225,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,31.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,150.0
17226,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,29.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,140.0
17227,KS,NIKE SUN,NIKE ENDURE FJ2185,5919012,NIKE ENDURE FJ2185/5,EMEA,Unknown,,42.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2185,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,119.0
17232,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,16.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,68.0
17233,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,18.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,108.0
17234,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,13.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,132.0
17235,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,18.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,150.0
17236,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,19.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,154.0
17237,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,58.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,123.0
17238,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,37.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,108.0
17239,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919355,NIKE ENDURE M FJ2198,EMEA,Unknown,,36.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,76.0
17244,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,14.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,107.0
17245,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,19.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,163.0
17246,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,23.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,208.0
17247,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,12.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,246.0
17248,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,53.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,220.0
17249,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,75.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,169.0
17250,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,68.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,125.0
17251,KS,NIKE SUN,NIKE ENDURE M FJ2198,5919410,NIKE ENDURE M FJ2198,EMEA,Unknown,,50.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2198,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,87.0
17256,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,4.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Square,Full,Plastic,0,0,0,36.0
17257,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,18.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Square,Full,Plastic,0,0,0,32.0
17258,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,8.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Square,Full,Plastic,0,1,0,35.0
17259,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,3.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Square,Full,Plastic,0,1,0,43.0
17260,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,7.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Square,Full,Plastic,0,0,1,42.0
17261,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,14.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Square,Full,Plastic,0,0,0,36.0
17262,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,11.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Square,Full,Plastic,0,0,0,27.0
17263,KS,NIKE SUN,NIKE PREMIER EV1071,6013001,NIKE PREMIER EV1071/,EMEA,Unknown,,11.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Square,Full,Plastic,0,0,0,19.0
17268,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,6.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Square,Full,Plastic,0,0,0,32.0
17269,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,11.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Square,Full,Plastic,0,0,0,46.0
17270,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,10.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Square,Full,Plastic,0,1,0,59.0
17271,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,4.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Square,Full,Plastic,0,1,0,76.0
17272,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,7.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Square,Full,Plastic,0,0,1,92.0
17273,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,25.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Square,Full,Plastic,0,0,0,75.0
17274,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,23.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Square,Full,Plastic,0,0,0,68.0
17275,KS,NIKE SUN,NIKE PREMIER EV1071,6013060,NIKE PREMIER EV1071/,EMEA,Unknown,,21.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_35410,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Square,Full,Plastic,0,0,0,50.0
17280,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,19.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Square,Full,Plastic,0,0,0,59.0
17281,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,6.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,77.0
17282,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,13.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,89.0
17283,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,29.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Square,Full,Plastic,0,0,0,65.0
17284,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,11.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,66.0
17285,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,24.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,54.0
17286,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,25.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Square,Full,Plastic,0,1,0,35.0
17287,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,5.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,35.0
17288,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,12.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,72.0
17289,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,12.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Square,Full,Plastic,0,1,0,71.0
17290,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,6.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,87.0
17291,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,5.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,121.0
17292,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,49.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Square,Full,Plastic,0,0,1,86.0
17293,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,11.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,119.0
17294,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,22.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,147.0
17295,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,39.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Square,Full,Plastic,0,0,0,122.0
17296,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,14.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,135.0
17297,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,44.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,166.0
17298,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,50.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Square,Full,Plastic,0,0,0,134.0
17299,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,14.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,148.0
17300,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,27.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,142.0
17301,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,75.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Square,Full,Plastic,0,0,0,80.0
17302,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,18.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,83.0
17303,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,28.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,80.0
17304,KS,NIKE SUN,NIKE VALIANT FJ1996,6017010,NIKE VALIANT FJ1996/,EMEA,Unknown,,21.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ1996,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57,Square,Full,Plastic,0,0,0,63.0
17305,KS,NIKE SUN,NIKE BRAZEN FURY  FJ,6017010,NIKE BRAZEN FURY  FJ,EMEA,Unknown,,13.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2259,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57,Rectangle,Full,Plastic,0,0,0,69.0
17306,KS,NIKE SUN,NIKE BRAZEN FURY E F,6017010,NIKE BRAZEN FURY E F,EMEA,Unknown,,21.0,Unknown,Unknown,0.0,Sun,Nike,Sport,Nike_Unknown_NKFJ2275,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57,Rectangle,Full,Plastic,0,0,0,82.0
